"frequency";"r dBS31";"i dBS31"
1e+07;-6.03077;0
1.0146e+07;-6.03084;0
1.02942e+07;-6.03092;0
1.04446e+07;-6.031;0
1.05971e+07;-6.03108;0
1.07519e+07;-6.03117;0
1.09089e+07;-6.03125;0
1.10682e+07;-6.03133;0
1.12299e+07;-6.03142;0
1.13939e+07;-6.0315;0
1.15603e+07;-6.03158;0
1.17291e+07;-6.03167;0
1.19004e+07;-6.03176;0
1.20742e+07;-6.03184;0
1.22506e+07;-6.03193;0
1.24295e+07;-6.03202;0
1.2611e+07;-6.03211;0
1.27952e+07;-6.0322;0
1.29821e+07;-6.03229;0
1.31717e+07;-6.03238;0
1.33641e+07;-6.03247;0
1.35592e+07;-6.03257;0
1.37573e+07;-6.03266;0
1.39582e+07;-6.03276;0
1.4162e+07;-6.03285;0
1.43689e+07;-6.03295;0
1.45787e+07;-6.03304;0
1.47917e+07;-6.03314;0
1.50077e+07;-6.03324;0
1.52269e+07;-6.03334;0
1.54493e+07;-6.03344;0
1.56749e+07;-6.03354;0
1.59038e+07;-6.03364;0
1.61361e+07;-6.03375;0
1.63718e+07;-6.03385;0
1.66109e+07;-6.03396;0
1.68535e+07;-6.03406;0
1.70996e+07;-6.03417;0
1.73493e+07;-6.03428;0
1.76027e+07;-6.03438;0
1.78598e+07;-6.03449;0
1.81206e+07;-6.0346;0
1.83853e+07;-6.03471;0
1.86538e+07;-6.03483;0
1.89262e+07;-6.03494;0
1.92027e+07;-6.03505;0
1.94831e+07;-6.03517;0
1.97677e+07;-6.03529;0
2.00564e+07;-6.0354;0
2.03493e+07;-6.03552;0
2.06465e+07;-6.03564;0
2.0948e+07;-6.03576;0
2.1254e+07;-6.03588;0
2.15644e+07;-6.036;0
2.18793e+07;-6.03613;0
2.21989e+07;-6.03625;0
2.25231e+07;-6.03638;0
2.2852e+07;-6.0365;0
2.31858e+07;-6.03663;0
2.35244e+07;-6.03676;0
2.3868e+07;-6.03689;0
2.42165e+07;-6.03702;0
2.45702e+07;-6.03715;0
2.49291e+07;-6.03729;0
2.52931e+07;-6.03742;0
2.56625e+07;-6.03756;0
2.60373e+07;-6.03769;0
2.64176e+07;-6.03783;0
2.68034e+07;-6.03797;0
2.71949e+07;-6.03811;0
2.75921e+07;-6.03825;0
2.7995e+07;-6.0384;0
2.84039e+07;-6.03854;0
2.88187e+07;-6.03869;0
2.92396e+07;-6.03883;0
2.96667e+07;-6.03898;0
3.01e+07;-6.03913;0
3.05396e+07;-6.03928;0
3.09856e+07;-6.03944;0
3.14381e+07;-6.03959;0
3.18973e+07;-6.03975;0
3.23631e+07;-6.0399;0
3.28358e+07;-6.04006;0
3.33153e+07;-6.04022;0
3.38019e+07;-6.04038;0
3.42956e+07;-6.04054;0
3.47965e+07;-6.04071;0
3.53047e+07;-6.04087;0
3.58203e+07;-6.04104;0
3.63434e+07;-6.04121;0
3.68742e+07;-6.04138;0
3.74127e+07;-6.04155;0
3.79592e+07;-6.04172;0
3.85135e+07;-6.0419;0
3.9076e+07;-6.04207;0
3.96467e+07;-6.04225;0
4.02258e+07;-6.04243;0
4.08132e+07;-6.04261;0
4.14093e+07;-6.0428;0
4.20141e+07;-6.04298;0
4.26277e+07;-6.04317;0
4.32503e+07;-6.04335;0
4.38819e+07;-6.04354;0
4.45228e+07;-6.04374;0
4.51731e+07;-6.04393;0
4.58328e+07;-6.04413;0
4.65022e+07;-6.04432;0
4.71813e+07;-6.04452;0
4.78704e+07;-6.04472;0
4.85696e+07;-6.04493;0
4.92789e+07;-6.04513;0
4.99986e+07;-6.04534;0
5.07288e+07;-6.04555;0
5.14697e+07;-6.04576;0
5.22214e+07;-6.04597;0
5.29841e+07;-6.04618;0
5.37579e+07;-6.0464;0
5.45431e+07;-6.04662;0
5.53397e+07;-6.04684;0
5.61479e+07;-6.04706;0
5.69679e+07;-6.04729;0
5.77999e+07;-6.04752;0
5.86441e+07;-6.04774;0
5.95006e+07;-6.04798;0
6.03695e+07;-6.04821;0
6.12512e+07;-6.04845;0
6.21458e+07;-6.04869;0
6.30534e+07;-6.04893;0
6.39743e+07;-6.04917;0
6.49086e+07;-6.04942;0
6.58566e+07;-6.04966;0
6.68184e+07;-6.04991;0
6.77943e+07;-6.05017;0
6.87844e+07;-6.05042;0
6.9789e+07;-6.05068;0
7.08083e+07;-6.05094;0
7.18424e+07;-6.05121;0
7.28917e+07;-6.05147;0
7.39562e+07;-6.05174;0
7.50364e+07;-6.05201;0
7.61322e+07;-6.05229;0
7.72441e+07;-6.05256;0
7.83723e+07;-6.05284;0
7.95169e+07;-6.05312;0
8.06782e+07;-6.05341;0
8.18565e+07;-6.0537;0
8.3052e+07;-6.05399;0
8.4265e+07;-6.05428;0
8.54956e+07;-6.05458;0
8.67443e+07;-6.05488;0
8.80112e+07;-6.05518;0
8.92966e+07;-6.05549;0
9.06007e+07;-6.0558;0
9.19239e+07;-6.05611;0
9.32665e+07;-6.05643;0
9.46286e+07;-6.05675;0
9.60106e+07;-6.05707;0
9.74128e+07;-6.0574;0
9.88355e+07;-6.05772;0
1.00279e+08;-6.05806;0
1.01744e+08;-6.05839;0
1.0323e+08;-6.05873;0
1.04737e+08;-6.05908;0
1.06267e+08;-6.05942;0
1.07819e+08;-6.05977;0
1.09394e+08;-6.06013;0
1.10991e+08;-6.06049;0
1.12612e+08;-6.06085;0
1.14257e+08;-6.06121;0
1.15926e+08;-6.06158;0
1.17619e+08;-6.06196;0
1.19336e+08;-6.06233;0
1.21079e+08;-6.06271;0
1.22848e+08;-6.0631;0
1.24642e+08;-6.06349;0
1.26462e+08;-6.06388;0
1.28309e+08;-6.06428;0
1.30183e+08;-6.06468;0
1.32084e+08;-6.06509;0
1.34013e+08;-6.0655;0
1.35971e+08;-6.06592;0
1.37957e+08;-6.06634;0
1.39971e+08;-6.06676;0
1.42016e+08;-6.06719;0
1.4409e+08;-6.06763;0
1.46194e+08;-6.06807;0
1.48329e+08;-6.06851;0
1.50496e+08;-6.06896;0
1.52694e+08;-6.06941;0
1.54924e+08;-6.06987;0
1.57186e+08;-6.07034;0
1.59482e+08;-6.07081;0
1.61811e+08;-6.07128;0
1.64174e+08;-6.07176;0
1.66572e+08;-6.07225;0
1.69005e+08;-6.07274;0
1.71473e+08;-6.07323;0
1.73977e+08;-6.07374;0
1.76518e+08;-6.07424;0
1.79096e+08;-6.07476;0
1.81712e+08;-6.07528;0
1.84366e+08;-6.0758;0
1.87059e+08;-6.07633;0
1.89791e+08;-6.07687;0
1.92562e+08;-6.07742;0
1.95375e+08;-6.07797;0
1.98228e+08;-6.07852;0
2.01123e+08;-6.07908;0
2.04061e+08;-6.07965;0
2.07041e+08;-6.08023;0
2.10065e+08;-6.08081;0
2.13133e+08;-6.0814;0
2.16245e+08;-6.082;0
2.19404e+08;-6.0826;0
2.22608e+08;-6.08321;0
2.25859e+08;-6.08383;0
2.29158e+08;-6.08446;0
2.32505e+08;-6.08509;0
2.359e+08;-6.08573;0
2.39345e+08;-6.08638;0
2.42841e+08;-6.08703;0
2.46388e+08;-6.08769;0
2.49986e+08;-6.08836;0
2.53637e+08;-6.08904;0
2.57341e+08;-6.08973;0
2.611e+08;-6.09043;0
2.64913e+08;-6.09113;0
2.68782e+08;-6.09184;0
2.72708e+08;-6.09256;0
2.76691e+08;-6.09329;0
2.80732e+08;-6.09403;0
2.84832e+08;-6.09478;0
2.88992e+08;-6.09554;0
2.93212e+08;-6.0963;0
2.97495e+08;-6.09708;0
3.01839e+08;-6.09786;0
3.06248e+08;-6.09866;0
3.1072e+08;-6.09946;0
3.15258e+08;-6.10028;0
3.19863e+08;-6.1011;0
3.24534e+08;-6.10193;0
3.29274e+08;-6.10278;0
