"frequency";"r dBS34";"i dBS34"
1e+07;-0.0101658;0
1.01547e+07;-0.0102493;0
1.03118e+07;-0.0103336;0
1.04713e+07;-0.0104186;0
1.06333e+07;-0.0105044;0
1.07978e+07;-0.0105909;0
1.09648e+07;-0.0106781;0
1.11344e+07;-0.0107661;0
1.13066e+07;-0.0108549;0
1.14815e+07;-0.0109445;0
1.16591e+07;-0.0110349;0
1.18395e+07;-0.0111261;0
1.20226e+07;-0.011218;0
1.22086e+07;-0.0113108;0
1.23975e+07;-0.0114044;0
1.25893e+07;-0.0114988;0
1.2784e+07;-0.0115941;0
1.29818e+07;-0.0116902;0
1.31826e+07;-0.0117872;0
1.33865e+07;-0.011885;0
1.35936e+07;-0.0119837;0
1.38038e+07;-0.0120833;0
1.40174e+07;-0.0121838;0
1.42342e+07;-0.0122851;0
1.44544e+07;-0.0123874;0
1.4678e+07;-0.0124906;0
1.4905e+07;-0.0125947;0
1.51356e+07;-0.0126997;0
1.53697e+07;-0.0128057;0
1.56075e+07;-0.0129127;0
1.58489e+07;-0.0130206;0
1.60941e+07;-0.0131294;0
1.63431e+07;-0.0132393;0
1.65959e+07;-0.0133501;0
1.68526e+07;-0.013462;0
1.71133e+07;-0.0135749;0
1.7378e+07;-0.0136887;0
1.76468e+07;-0.0138037;0
1.79198e+07;-0.0139196;0
1.8197e+07;-0.0140367;0
1.84785e+07;-0.0141548;0
1.87643e+07;-0.0142739;0
1.90546e+07;-0.0143942;0
1.93494e+07;-0.0145155;0
1.96487e+07;-0.014638;0
1.99526e+07;-0.0147616;0
2.02613e+07;-0.0148863;0
2.05747e+07;-0.0150122;0
2.0893e+07;-0.0151392;0
2.12162e+07;-0.0152674;0
2.15443e+07;-0.0153968;0
2.18776e+07;-0.0155274;0
2.2216e+07;-0.0156592;0
2.25597e+07;-0.0157922;0
2.29087e+07;-0.0159264;0
2.32631e+07;-0.0160619;0
2.36229e+07;-0.0161987;0
2.39883e+07;-0.0163367;0
2.43594e+07;-0.0164761;0
2.47362e+07;-0.0166167;0
2.51189e+07;-0.0167586;0
2.55074e+07;-0.0169019;0
2.5902e+07;-0.0170465;0
2.63027e+07;-0.0171925;0
2.67096e+07;-0.0173398;0
2.71227e+07;-0.0174886;0
2.75423e+07;-0.0176387;0
2.79683e+07;-0.0177903;0
2.8401e+07;-0.0179433;0
2.88403e+07;-0.0180978;0
2.92864e+07;-0.0182537;0
2.97395e+07;-0.0184111;0
3.01995e+07;-0.01857;0
3.06667e+07;-0.0187304;0
3.11411e+07;-0.0188924;0
3.16228e+07;-0.0190559;0
3.21119e+07;-0.019221;0
3.26087e+07;-0.0193876;0
3.31131e+07;-0.0195559;0
3.36253e+07;-0.0197258;0
3.41455e+07;-0.0198973;0
3.46737e+07;-0.0200705;0
3.52101e+07;-0.0202454;0
3.57547e+07;-0.020422;0
3.63078e+07;-0.0206002;0
3.68695e+07;-0.0207803;0
3.74398e+07;-0.020962;0
